Date,Open,Last,High,Low,Range,Volume,3Y POC,VWAP,YTD POC,1Y POC,1WK POC
2022/12/1,4126.50,4113.75,4142.00,4086.50,55.50,1834073,3984.00,3891.34,0.00,3998.00,0.00
2022/12/2,4109.50,4107.50,4117.50,4038.75,78.75,1849784,3984.00,3891.68,0.00,3998.00,0.00
2022/12/5,4106.00,4035.25,4107.75,4019.25,88.50,1497688,3984.00,3891.86,0.00,3998.00,0.00
2022/12/6,4037.75,3977.00,4046.75,3953.50,93.25,1869101,3984.00,3892.00,0.00,3998.00,0.00
2022/12/7,3976.50,3968.75,3993.50,3946.00,47.50,1756473,3984.00,3892.11,0.00,3998.00,0.00
2022/12/8,3967.75,3997.75,4009.25,3948.00,61.25,1708915,3984.00,3892.27,0.00,3998.00,0.00
2022/12/9,3996.75,3968.25,4022.00,3962.00,60.00,1739761,3984.00,3892.38,0.00,3998.00,0.00
2022/12/12,3965.75,4025.00,4026.00,3956.00,70.00,2145805,3984.00,3892.62,0.00,3998.00,0.00
2022/12/13,4022.25,4055.25,4180.00,4017.50,162.50,2864043,3984.00,3893.02,0.00,3998.00,0.00
2022/12/14,4054.50,4030.75,4090.75,3997.00,93.75,1951473,3984.00,3893.24,0.00,3998.00,0.00
2022/12/15,4037.00,3927.25,4043.00,3908.00,135.00,2216621,3984.00,3893.31,0.00,3998.00,0.00
2022/12/16,3920.00,3879.00,3934.50,3855.25,79.25,1965701,3984.00,3893.28,0.00,3998.00,0.00
2022/12/19,3874.00,3845.50,3899.00,3827.25,71.75,1405774,3984.00,3893.23,0.00,3998.00,0.00
2022/12/20,3842.75,3849.25,3866.50,3803.50,63.00,1541868,3984.00,3893.17,0.00,3998.00,0.00
2022/12/21,3857.25,3905.75,3918.75,3855.50,63.25,1522069,3984.00,3893.18,0.00,3998.00,0.00
2022/12/22,3915.00,3849.25,3919.75,3788.50,131.25,1842326,3984.00,3893.12,0.00,3998.00,0.00
2022/12/23,3850.00,3869.75,3872.50,3821.25,51.25,1374913,3984.00,3893.09,0.00,3998.00,0.00
